sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
C:\Users\viola\Desktop\ENG_GHM\bilnerbulner.wav,Q/L,,red,L,bilner-bullner               bilner-bealner,,,,,0,12,12,1,,,,,4,5.113,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\serishderish.wav,IS/Q,,red,L,serish-derish                  serish-sorish,,,,,0,13,13,13,,,,,4,5.184,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\figlowfliglow.wav,IS/ICN,,red,R,           figlow-fliglow                      figlow-biglow                               ,,,,,0,14,14,34,,,,,5,4.941,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\fettipfottip.wav,IS/Q,,conj,R,fettip and fottip                        fettip and bettip,,,,,0,15,15,17,,,,,2,5.369,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\feckildeckil.wav,IS/Q,,red,L,feckil-deckil                   feckil-fockil,,,,,0,16,16,11,,,,,2,5.892,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\siglowsaglow.wav,IS/Q,,red,R,siglow-saglow                siglow-kiglow,,,,,0,17,17,14,,,,,5,5.384,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\cabickcabeeck.wav,Q/L,,conj,R,cabick  and cabeek               cabick and cabook,,,,,0,18,18,6,,,,,6,4.648,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\siply-tiply.wav,IS/ICN,,red,L,siply-tiply                     siply-sliply,,,,,0,19,19,33,,,,,5,5.728,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\sipothbipoth.wav,IS/Q,,conj,L,          sipoth and bipoth                 sipoth and sapoth                    ,,,,,0,20,20,18,,,,,1,5.494,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\fiprettipret.wav,IS/ICN,,red,L,          fipret-tipret                   fipret-flipret                   ,,,,,0,21,21,31,,,,,2,5.587,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\kiplykriply.wav,ICN/Q,,red,R,kiply-kriply                    kiply-kaply,,,,,0,22,22,24,,,,,5,4.58,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\berickbereack.wav,Q/L,,red,R,berick-bereek              berick-berook,,,,,0,23,23,4,,,,,6,5.583,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\tipothtapoth.wav,ICN/Q,,conj,L,tipoth and tapoth                     tipoth and tripoth,,,,,0,24,24,28,,,,,5,5.943,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\feskytesky.wav,IS/Q,,conj,L,fesky and tesky                      fesky and fosky,,,,,0,25,25,19,,,,,3,5.697,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\sipretsapret.wav,IS/Q,,red,R,sipret-sapret                  sipret-dipret,,,,,0,26,26,12,,,,,3,6.039,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\feblickeblic.wav,IS/Q,,conj,L,feblic and keblic                      feblic and foblic,,,,,0,27,27,15,,,,,5,5.572,2016_Jan_19_1103,31.971980582,binomials,1,r108
