sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
C:\Users\viola\Desktop\ENG_GHM\ditlendatlen.wav,ICN/Q,,conj,L,         ditlen and datlen                     ditlen and dritlen           ,,,,,0,11,11,26,,,,,2,11.065,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\secklesteckle.wav,IS/ICN,,red,R,seckil-steckil               seckil-beckil,,,,,0,12,12,32,,,,,4,12.417,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\sipretsapret.wav,IS/Q,,red,R,sipret-sapret                  sipret-dipret,,,,,0,13,13,12,,,,,6,13.813,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\fiplyfaply.wav,IS/Q,,red,R,fiply-faply                       fiply-biply,,,,,0,14,14,10,,,,,5,10.661,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\fitlenfritlen.wav,IS/ICN,,conj,R,fitlen and fritlen                        fitlen and kitlen   ,,,,,0,15,15,38,,,,,6,11.587,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\geskyglesky.wav,ICN/Q,,conj,R,gesky and glesky                    gesky and gosky,,,,,0,16,16,29,,,,,2,13.517,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\filgerfeelger.wav,Q/L,,conj,R,filger and feelger                    filger and fulger,,,,,0,17,17,8,,,,,6,10.45,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\ferishflerish.wav,IS/ICN,,red,R,ferish-flerish                 ferish-terish,,,,,0,18,18,30,,,,,2,15.488,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\kiplykriply.wav,ICN/Q,,red,R,kiply-kriply                    kiply-kaply,,,,,0,19,19,24,,,,,2,8.849,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\siply-tiply.wav,IS/ICN,,red,L,siply-tiply                     siply-sliply,,,,,0,20,20,33,,,,,1,8.154,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\berickbereack.wav,Q/L,,red,R,berick-bereek              berick-berook,,,,,0,21,21,4,,,,,6,10.833,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\figlowfliglow.wav,IS/ICN,,red,R,           figlow-fliglow                      figlow-biglow                               ,,,,,0,22,22,34,,,,,6,7.882,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\siglowsaglow.wav,IS/Q,,red,R,siglow-saglow                siglow-kiglow,,,,,0,23,23,14,,,,,6,9.106,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\settipgettip.wav,IS/ICN,,conj,L,settip and gettip                      settip and slettip,,,,,0,24,24,37,,,,,1,8.176,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\serishderish.wav,IS/Q,,red,L,serish-derish                  serish-sorish,,,,,0,25,25,13,,,,,1,8.623,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\fettipfottip.wav,IS/Q,,conj,R,fettip and fottip                        fettip and bettip,,,,,0,26,26,17,,,,,6,11.067,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\bipretblipret.wav,ICN/Q,,red,R,bipret-blipret                 bipret-bapret,,,,,0,27,27,22,,,,,6,8.678,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\sipothbipoth.wav,IS/Q,,conj,L,          sipoth and bipoth                 sipoth and sapoth                    ,,,,,0,28,28,18,,,,,1,8.839,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\feckildeckil.wav,IS/Q,,red,L,feckil-deckil                   feckil-fockil,,,,,0,29,29,11,,,,,2,12.275,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\kerishklerish.wav,ICN/Q,,red,R,kerish-klerish                kerish-korish,,,,,0,30,30,21,,,,,3,14.455,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\liknepleeknep.wav,Q/L,,red,R,liknep-leeknep             liknep-looknep,,,,,0,31,31,2,,,,,4,11.332,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\tipothtapoth.wav,ICN/Q,,conj,L,tipoth and tapoth                     tipoth and tripoth,,,,,0,32,32,28,,,,,3,6.526,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\fipothflipoth.wav,IS/ICN,,conj,R,fipoth and flipoth                      fipoth and dipoth,,,,,0,33,33,36,,,,,5,8.375,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\feblickeblic.wav,IS/Q,,conj,L,feblic and keblic                      feblic and foblic,,,,,0,34,34,15,,,,,6,10.223,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\vickervooker.wav,Q/L,,conj,L,vicker and voocker                 vicker and veecker,,,,,0,35,35,5,,,,,1,5.217,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\diplerdoopler.wav,Q/L,,conj,L,dipler and doopler                  dipler and deepler,,,,,0,36,36,9,,,,,6,8.188,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\feblicteblic.wav,IS/ICN,,conj,L,feblic and teblic                       feblic and fleblic ,,,,,0,37,37,39,,,,,1,6.75,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\feskytesky.wav,IS/Q,,conj,L,fesky and tesky                      fesky and fosky,,,,,0,38,38,19,,,,,1,5.542,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\shicketshucket.wav,Q/L,,conj,L,shicket and shucket              shicket and sheecket,,,,,0,39,39,7,,,,,2,9.965,2015_Dec_30_1312,32.0139831584,binomials,1,r103
