sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
C:\Users\viola\Desktop\ENG_GHM\deriptderip.wav,FCN,deript and derip                   derip and deript,conj,R,,0,11,11,57,,,,,,,2,13.784,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\sponersoner.wav,ICN,sponer-soner              soner-sponer,red,R,,0,12,12,41,,,,,,,4,5.17,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\listerleaster.wav,VL,lister-leaster               leaster-lister,red,L,,0,13,13,30,,,,,,,5,8.411,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\bickeshbickel.wav,FS,bickesh-bickell           bickell-bickesh,red,L,,0,14,14,10,,,,,,,2,18.134,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\deefelheefel.wav,IS,deefel-heefel               heefel-deefel,red,R,,0,15,15,3,,,,,,,3,10.691,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\linooctlinooc.wav,FCN,linooct and linooc                linooc and linooct,conj,R,,0,16,16,59,,,,,,,4,13.239,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\repooctrepooc.wav,FCN,repooct-repooc          repooc-repooct,red,R,,0,17,17,51,,,,,,,2,12.747,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\pleefterplifter.wav,VL,pleefter and plifter                 plifter and pleefter,conj,R,,0,18,18,36,,,,,,,6,12.041,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\fedooptfedoop.wav,FCN,fedoopt-fedoop           fedoop-fedoopt,red,R,,0,19,19,53,,,,,,,4,10.053,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\resteacresteact.wav,FCN,resteac and resteact            resteact and resteac,conj,L,,0,20,20,58,,,,,,,1,11.309,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,21,21,28,,,,,,,6,8.995,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
