sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
C:\Users\viola\Desktop\FR_GHM\traplintetraplette.wav,R,conj,ni traplinte ni traplette         ni traplette ni traplinte,cl,VN,0,29,29,26,,,,,,,5,11.879,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\plamotteplamette.wav,R,conj,ni plamotte ni plamette       ni plamette ni plamotte,a,VQ,0,30,30,39,,,,,,,5,10.378,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\ranietteraniotte.wav,L,red,raniette-raniotte        raniotte-raniette,a,VQ,0,31,31,33,,,,,,,4,10.688,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\raffotteraffette.wav,R,conj,ni raffotte ni raffette             ni raffette ni raffotte,a,VQ,0,32,32,35,,,,,,,2,11.909,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\loubotteloubette.wav,R,red,loubotte-loubette       loubette-loubotte,a,VQ,0,33,33,31,,,,,,,5,7.96,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\gouvactegouvac.wav,R,conj,ni gouvacte ni gouvac         ni gouvac ni gouvacte,stop,FCN,0,34,34,55,,,,,,,2,14.496,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,35,35,7,,,,,,,2,9.043,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\tiboufetiboufre.wav,L,red,tiboufe-tiboufre           tiboufre-tiboufe,fr,FCN,0,36,36,52,,,,,,,1,9.913,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\dalaifredalaife.wav,R,conj,ni dalaifre ni dalaife            ni dalaife ni dalaifre,fr,FCN,0,37,37,57,,,,,,,4,9.785,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\tilafretilafe.wav,R,conj,ni tilafre ni tilafe                 ni tilafe ni tilafre,fr,FCN,0,38,38,59,,,,,,,5,9.369,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\rinoulerinoupe.wav,R,red,rinoule-rinoupe          rinoupe-rinoule,diff,FS,0,39,39,11,,,,,,,5,12.647,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\cazibecazille.wav,L,red,cazibe-cazille           cazille-cazibe,diff,FS,0,40,40,10,,,,,,,3,8.833,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\ranaidecanaide.wav,L,conj,ni ranaide ni canaide           ni canaide ni ranaide,diff,IS,0,41,41,6,,,,,,,2,11.076,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\ridacteridac.wav,R,red,ridacte-ridac              ridac-ridacte,stop,FCN,0,42,42,51,,,,,,,2,12.016,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\tidatidan.wav,L,red,tida-tidan                  tidan-tida,op,VN,0,43,43,21,,,,,,,3,9.381,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\calitecalate.wav,L,red,calite-calate             calate-calite,h,VQ,0,44,44,30,,,,,,,2,7.681,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\padafepadafre.wav,L,red,padafe-padafre           padafre-padafe  ,fr,FCN,0,45,45,50,,,,,,,2,9.495,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,46,46,1,,,,,,,2,15.552,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\clatifeclatafe.wav,L,red,clatife-clatafe            clatafe-clatife,h,VQ,0,47,47,34,,,,,,,2,15.71,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\codellecrodelle.wav,L,red,codelle-crodelle         crodelle-codelle,nan,ICN,0,48,48,40,,,,,,,4,10.055,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\noupetgoupet.wav,L,red,noupet-goupet          goupet-noupet,same,IS,0,49,49,0,,,,,,,4,10.137,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\capaiccapaicte.wav,L,conj,ni capaic ni capaicte          ni capaicte ni capaic,stop,FCN,0,50,50,58,,,,,,,4,5.668,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,51,51,17,,,,,,,5,12.239,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\coudincloudin.wav,L,conj,ni coudin ni cloudin           ni cloudin ni coudin,nan,ICN,0,52,52,48,,,,,,,4,7.331,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\gonaisgonin.wav,L,red,gonais-gonin             gonin-gonais,op,VN,0,53,53,23,,,,,,,5,7.301,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\chavintechavette.wav,R,red,chavinte-chavette      chavette-chavinte,cl,VN,0,54,54,22,,,,,,,5,7.701,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\salainestalaine.wav,L,red,salaine-stalaine         stalaine-salaine,nan,ICN,0,55,55,42,,,,,,,3,14.29,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\sapaiquesapoque.wav,L,conj,ni sapaique ni sapoque       ni sapoque ni sapaique,a,VQ,0,56,56,37,,,,,,,2,10.492,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\fluponfupon.wav,R,red,flupon-fupon              fupon-flupon,nan,ICN,0,57,57,41,,,,,,,3,8.145,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\fomaigeflomaige.wav,L,conj,ni fomaige ni flomaige        ni flomaige ni fomaige,nan,ICN,0,58,58,46,,,,,,,5,9.26,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\guinotterinotte.wav,R,red,guinotte-rinotte         rinotte-guinotte,diff,IS,0,59,59,3,,,,,,,5,7.752,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\faprigefaprage.wav,R,conj,ni faprige ni faprage                 ni faprige ni gaprige,h,IS/VQ,,,,,0,0,0,15,,,,,2,14.562,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\croudettecroudinte.wav,R,red,croudette-croudinte       croudette-croudotte,nan,VQ/VN,,,,,0,1,1,3,,,,,1,12.867,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\gontecgontoc.wav,R,conj,ni gontec ni gontoc                ni gontec ni grontec,a,ICN/VQ,,,,,0,2,2,29,,,,,1,6.742,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\lutettelutotte.wav,L,conj,ni lutette ni lutotte                   ni lutette ni lutinte,nan,VQ/VN,,,,,0,3,3,6,,,,,1,5.793,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\saglidagli.wav,L,red,sagli-dagli                   sagli-sagla,h,IS/VQ,,,,,0,4,4,14,,,,,6,6.973,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\dabidrabi.wav,L,red,dabi-drabi                  dabi-daba ,h,ICN/VQ,,,,,0,5,5,20,,,,,6,6.729,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\sadigadi.wav,L,red,sadi-gadi                  sadi-sladi,nan,IS/ICN,,,,,0,6,6,34,,,,,2,7.853,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\saglettepaglette.wav,L,conj,ni saglette ni paglette           ni saglette ni staglette,nan,IS/ICN,,,,,0,7,7,36,,,,,5,10.588,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\baprigeblaprige.wav,L,conj,ni baprige ni blaprige             ni baprige ni baprage,h,ICN/VQ,,,,,0,8,8,28,,,,,6,7.411,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\daglettedraglette.wav,L,conj,ni daglette ni draglette            ni daglette ni daglotte,a,ICN/VQ,,,,,0,9,9,26,,,,,6,9.606,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\fontecfontoc.wav,R,conj,ni fontec ni fontoc                    ni fontec ni pontec,a,IS/VQ,,,,,0,10,10,19,,,,,1,7.764,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\sudettepudette.wav,L,red,sudette-pudette        sudette-studette,nan,IS/ICN,,,,,0,11,11,32,,,,,1,10.233,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\fudettefudotte.wav,R,red,fudette-fudotte             fudette-budette,a,IS/VQ,,,,,0,12,12,11,,,,,1,5.16,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\glavetteglavotte.wav,L,red,glavette-glavotte            glavette-glavinte,nan,VQ/VN,,,,,0,13,13,0,,,,,1,4.869,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\soitettesoitinte.wav,R,conj,ni soitette ni soitinte                ni soitette ni soitotte,nan,VQ/VN,,,,,0,14,14,7,,,,,2,10.576,2016_Feb_29_1707,32.06663191,binobino,1,r319
